caregiver_id,shift_id,shift_start,shift_end,status,offered,applied,assigned,cancelled,declined,rejected,unapplied,cancelled_reason,invitation_notes,unavailability,read,last_invited,num_invites_sent
525589,133674302,00:00.0,10:00.0,assigned,23:11.0,NULL,23:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
491817,133282241,00:00.0,15:00.0,assigned,14:10.0,NULL,14:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
516627,133334641,00:00.0,15:00.0,assigned,47:12.0,NULL,47:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
6347,132601255,00:00.0,30:00.0,assigned,52:23.0,NULL,52:23.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
651342,133265675,00:00.0,30:00.0,assigned,59:11.0,NULL,59:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
653020,133269545,00:00.0,30:00.0,assigned,23:10.0,NULL,23:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
708077,133337470,00:00.0,30:00.0,assigned,53:12.0,NULL,53:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
781938,133508051,00:00.0,30:00.0,assigned,17:11.0,NULL,17:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
790444,133266526,00:00.0,30:00.0,assigned,59:11.0,NULL,59:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1152222,133509679,00:00.0,30:00.0,assigned,20:10.0,NULL,20:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1174712,133085113,00:00.0,30:00.0,assigned,23:12.0,NULL,23:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
516914,132793560,00:00.0,40:00.0,assigned,23:10.0,NULL,23:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
917645,132794624,00:00.0,40:00.0,assigned,26:11.0,NULL,26:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
285960,133941673,00:00.0,45:00.0,assigned,09:25.0,NULL,09:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
491788,133280554,00:00.0,45:00.0,assigned,11:11.0,NULL,11:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
823951,133280762,00:00.0,45:00.0,assigned,11:12.0,NULL,11:12.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1119243,132794980,00:00.0,45:00.0,assigned,29:10.0,NULL,29:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
516871,132793364,00:00.0,50:00.0,assigned,23:10.0,NULL,23:10.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
242263,132204440,00:00.0,00:00.0,assigned,29:20.0,NULL,29:20.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
247203,132527822,00:00.0,00:00.0,assigned,59:25.0,NULL,59:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
247224,132528402,00:00.0,00:00.0,assigned,59:25.0,NULL,59:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
251609,132528756,00:00.0,00:00.0,assigned,59:25.0,NULL,59:25.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
491738,133280131,00:00.0,00:00.0,assigned,11:11.0,NULL,11:11.0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
