geo_city,geo_state,total_shifts,filled,unfilled,cancelled,unmet,unmet_rate
ABINGTON,PA,63,62,0,1,1,0.015873015873015872
ACCORD,NY,13,12,0,1,1,0.07692307692307693
AIRMONT,NY,215,187,0,28,28,0.13023255813953488
ALBANY,NY,4032,3149,42,841,883,0.21899801587301587
ALBERTSON,NY,547,529,0,18,18,0.03290676416819013
ALLENDALE,NJ,70,34,3,33,36,0.5142857142857142
ALLERTON,NY,42,41,0,1,1,0.023809523809523808
ALLISON PARK,PA,46,35,0,11,11,0.2391304347826087
ALTAMONT,NY,43,41,0,2,2,0.046511627906976744
ALTOONA,PA,2640,2159,1,480,481,0.1821969696969697
AMBLER,PA,62,62,0,0,0,0.0
AMITYVILLE,NY,1211,1138,3,70,73,0.06028075970272502
AMSTERDAM,NY,150,115,0,35,35,0.23333333333333334
ANDOVER,CT,99,96,0,3,3,0.030303030303030304
ANDREWS,NC,2,2,0,0,0,0.0
ANSONIA,CT,83,83,0,0,0,0.0
APOLLO,PA,45,43,0,2,2,0.044444444444444446
ARCADIA,PA,39,38,0,1,1,0.02564102564102564
ARDSLEY,NY,185,120,17,48,65,0.35135135135135137
ARMONK,NY,68,54,0,14,14,0.20588235294117646
ARNOLD,MD,54,46,2,6,8,0.14814814814814814
ARNOLD,MO,28,5,4,19,23,0.8214285714285714
ARVERNE,NY,2383,2102,22,259,281,0.11791859001258917
ASTON,PA,40,40,0,0,0,0.0
ASTORIA,NY,12881,11478,33,1370,1403,0.10892011489791165
ATLANTIC BEACH,NY,62,62,0,0,0,0.0
AURORA,CO,74,73,0,1,1,0.013513513513513514
AUSTIN,TX,1493,1183,33,277,310,0.20763563295378432
AVERILL PARK,NY,18,16,0,2,2,0.1111111111111111
AVON,CT,1490,1427,0,63,63,0.042281879194630875
AYDEN,NC,2,2,0,0,0,0.0
Acton,ME,2,0,0,2,2,1.0
Addisleigh Park,NY,5,0,0,5,5,1.0
Agawam,MA,4,4,0,0,0,0.0
Airmont,NY,168,136,0,32,32,0.19047619047619047
Akron,OH,109,100,0,9,9,0.08256880733944955
Alamosa,CO,66,66,0,0,0,0.0
Albany,NY,2664,2231,25,408,433,0.16253753753753752
Albertson,NY,65,56,0,9,9,0.13846153846153847
Alexandria,VA,303,302,0,1,1,0.0033003300330033004
Allegany,NY,8,0,8,0,8,1.0
Allison Park,PA,2,0,2,0,2,1.0
Allston,MA,34,19,0,15,15,0.4411764705882353
Altoona,PA,247,210,0,37,37,0.14979757085020243
Amherst,MA,82,58,0,24,24,0.2926829268292683
Amity Harbor,NY,484,468,0,16,16,0.03305785123966942
Amityville,NY,2533,2465,2,66,68,0.026845637583892617
Amsterdam,NY,54,50,0,4,4,0.07407407407407407
Ann Arbor,MI,7792,6572,422,798,1220,0.15657084188911705
Anniston,MO,20,18,0,2,2,0.1
Annville,PA,62,62,0,0,0,0.0
Apollo,PA,88,82,0,6,6,0.06818181818181818
Arenzville,IL,35,29,0,6,6,0.17142857142857143
Arlington Heights,IL,49,42,0,7,7,0.14285714285714285
Arnold,MO,2,2,0,0,0,0.0
Arvada,CO,81,80,0,1,1,0.012345679012345678
Arverne,NY,291,270,0,21,21,0.07216494845360824
Asheville,NC,286,259,27,0,27,0.0944055944055944
Ashford,CT,6,6,0,0,0,0.0
Ashland,IL,38,30,0,8,8,0.21052631578947367
Astoria,NY,3265,2915,5,345,350,0.10719754977029096
Astroria,NY,10,4,0,6,6,0.6
Auburn,ME,1,1,0,0,0,0.0
Ault,CO,2,2,0,0,0,0.0
Aurora,CO,2700,2579,0,121,121,0.044814814814814814
Aurora,IL,51,40,0,11,11,0.21568627450980393
Austerlitz,NY,21,0,21,0,21,1.0
Austin,PA,1,1,0,0,0,0.0
