service_description,total,unfilled,cancelled,unmet,unmet_rate
(0701) PCA HR KINGS,1559,7,23,30,0.01924310455420141
(0701) PCA HR NASSAU,754,10,3,13,0.017241379310344827
(0701) PCA HR NEW YORK,125,4,0,4,0.032
(0701) PCA HR QUEENS,390,8,1,9,0.023076923076923078
(0701) PCA HR RICHMOND,126,0,0,0,0.0
2 month recertification,1,0,0,0,0.0
2443 Skilled,18,18,0,18,1.0
2444 Skilled,2,2,0,2,1.0
2445,1,0,1,1,1.0
2445 Skilled,2,1,1,2,1.0
2593,52,0,10,10,0.19230769230769232
25930 HSK,76,0,3,3,0.039473684210526314
25940 Mutual HSK,32,0,0,0,0.0
2595,694,0,93,93,0.1340057636887608
2595 PCA Level 2,2134,2,228,230,0.1077788191190253
25950 Live In,719,2,40,42,0.0584144645340751
25950 PCA Hourly,6385,3,381,384,0.06014095536413469
2596,246,0,4,4,0.016260162601626018
25960 LI MUT/SHARED,122,0,4,4,0.03278688524590164
25960 Level 2 MUT/SHARED 1/4hr,2,0,0,0,0.0
25960 Mutual Hourly,286,0,64,64,0.22377622377622378
2596MU PCA Level 2,176,0,20,20,0.11363636363636363
26010 PCA Level 1,36,1,0,1,0.027777777777777776
2610,15530,0,1699,1699,0.1094011590470058
2622,77,0,17,17,0.22077922077922077
26220 PCA Level 2,414,1,19,20,0.04830917874396135
26260 PCA Level 2 HTS,62,0,0,0,0.0
2632,168,0,18,18,0.10714285714285714
2632 Live In,342,0,16,16,0.04678362573099415
2632 PCA Live In,2,0,0,0,0.0
27420- PCAII Nursing Supervision,7,0,0,0,0.0
27870 NURSING ASSESSMENT,4,0,0,0,0.0
27870 Nursing Reassessment,4,0,0,0,0.0
6 Month Recertification,5,0,0,0,0.0
6 month recertification,7,0,1,1,0.14285714285714285
9744 Brookly,252,0,21,21,0.08333333333333333
9744 Manhattan,124,0,0,0,0.0
9744 NHTD Waiver HCSS- Qns- Hrly,27,0,0,0,0.0
9744 NYC (Queens),124,0,0,0,0.0
9744 Queens,262,0,0,0,0.0
9744-KINGS,632,0,15,15,0.023734177215189875
9744-NYC,168,0,20,20,0.11904761904761904
9744-Queens,790,0,1,1,0.0012658227848101266
9744-Richmond,307,0,8,8,0.026058631921824105
9745,2613,0,182,182,0.06965174129353234
9879 NY,127,0,2,2,0.015748031496062992
99082-MEDICAL ESCORT,127,7,5,12,0.09448818897637795
99509 Personal Care,539,0,36,36,0.06679035250463822
A0100,334,324,10,334,1.0
A0130,351,323,28,351,1.0
ACT 150,260,0,46,46,0.17692307692307693
AFL level 1,14,0,0,0,0.0
AFL level 2,53,0,0,0,0.0
AFL level 3,158,0,7,7,0.04430379746835443
AFL level 4,150,0,28,28,0.18666666666666668
ALP RN Hourly,31,0,0,0,0.0
ALR HHA 12hr Hourly,270,0,15,15,0.05555555555555555
ALR HHA 9hr Hourly,80,0,6,6,0.075
ALR HHA Holiday 12hr Hourly,1,0,0,0,0.0
ALR HHA Holiday Hourly,38,0,8,8,0.21052631578947367
ALR HHA Hourly,1049,9,92,101,0.09628217349857007
ALR HHA Private Duty Transport,5,0,2,2,0.4
ALR LPN Hourly,156,0,17,17,0.10897435897435898
ALR Med HHA 12hr Holiday Hourly,2,0,0,0,0.0
ALR Med HHA 12hr Hourly,100,0,2,2,0.02
ALR Med HHA 9hr Hourly,3,0,0,0,0.0
ALR Med HHA Holiday Hourly,7,0,0,0,0.0
ALR Med HHA Hourly,363,0,38,38,0.1046831955922865
ALR RN Hourly,93,3,15,18,0.1935483870967742
APC,371,0,90,90,0.24258760107816713
AUT COMM MENTOR AG,35,0,5,5,0.14285714285714285
AUT JOB COACH AG,9,0,0,0,0.0
AUT LIFE SKILLS COACH AG,183,0,44,44,0.24043715846994534
Act 150 Blair,79,0,4,4,0.05063291139240506
Act 150 Pitt,238,0,58,58,0.24369747899159663
Acute OT Visit 150 mins,3,0,0,0,0.0
Acute PT Visit 150 mins,2,0,0,0,0.0
Adult Companion,403,0,90,90,0.22332506203473945
Advanced Personal Care,7,0,0,0,0.0
Aide Services,413,0,7,7,0.01694915254237288
Aide Supervision,130,0,8,8,0.06153846153846154
Aide Supervision (NB),189,0,18,18,0.09523809523809523
Alert Install,13,0,0,0,0.0
Alerts,588,0,24,24,0.04081632653061224
Assessment Sup Home Visit,32,0,16,16,0.5
Attendant,1,0,0,0,0.0
Attendant Care,851,2,100,102,0.11985898942420682
Attendant Care Services,165,0,3,3,0.01818181818181818
Attendant Care Task,9,0,2,2,0.2222222222222222
Authorized Nurse Visit,41,0,1,1,0.024390243902439025
BATH SERVICE,242,1,94,95,0.3925619834710744
Basic Homemaker,9,0,0,0,0.0
Basic Parental Provision,45,0,0,0,0.0
Basic Respite,63,0,0,0,0.0
Behavior Technician,695,1,23,24,0.034532374100719423
Bronx HCSS New,444,3,0,3,0.006756756756756757
Bronx NHTD,4991,52,202,254,0.05089160488879984
Bronx TBI,675,5,8,13,0.01925925925925926
Brooklyn NHTD,22891,196,675,871,0.038049888602507534
Brooklyn TBI,1230,18,10,28,0.022764227642276424
CAPC in Home Respite,18,0,0,0,0.0
CAPC  In-Home Aide,39,0,3,3,0.07692307692307693
CAPD Attendant Care,71,0,4,4,0.056338028169014086
CAPD In Home Respite,46,0,2,2,0.043478260869565216
CBT PVT,1,0,0,0,0.0
CC Parental Provision,161,0,0,0,0.0
CD NON BILLABLE INTIIAL VISIT,5,1,3,4,0.8
CD NON BILLABLE SN AIDE SUPERVISION,107,1,11,12,0.11214953271028037
CD NON BILLABLE SN INITIAL,280,8,128,136,0.4857142857142857
CD NON BILLABLE SN POST-HOSPITALIZATION,226,159,50,209,0.9247787610619469
CD NON BILLABLE SN PRN,3,0,0,0,0.0
CD NON BILLABLE SN RECERTIFICATION,1411,68,611,679,0.481218993621545
CD NON BILLABLE SN SCIC,116,48,17,65,0.5603448275862069
CD NON BILLABLE SN SCIC.,1,1,0,1,1.0
CD RN HOME AND CMTY SPRT SVCS INT HRLY BKLYN- 9799,1,0,0,0,0.0
CD RN HOME AND CMTY SPRT SVCS INT HRLY BX - 9799,3,0,2,2,0.6666666666666666
CD RN HOME AND CMTY SPRT SVCS INT HRLY MANH - 9799,5,0,2,2,0.4
CD RN HOME AND CMTY SPRT SVCS INT HRLY SI - 9799,5,0,3,3,0.6
CD RN HOME AND CMTY SPRT SVCS RCRT HRLY BKLYN-9799,10,0,3,3,0.3
CD RN HOME AND CMTY SPRT SVCS RCRT HRLY BX - 9799,4,0,1,1,0.25
CD RN HOME AND CMTY SPRT SVCS RCRT HRLY MANH- 9799,4,0,2,2,0.5
CD RN HOME AND CMTY SPRT SVCS RCRT HRLY QNS - 9799,8,0,3,3,0.375
CD RN HOME AND CMTY SPRT SVCS RCRT HRLY SI - 9799,2,0,0,0,0.0
CD SN INITIAL VISIT BILLABLE - T1030,15,0,3,3,0.2
CD SN INITIAL VISIT- T1030,4,0,0,0,0.0
CDPAP PMPM,11,11,0,11,1.0
CDS,2740,0,169,169,0.06167883211678832
CDSILW,2,0,0,0,0.0
CES Community Connector,17,0,1,1,0.058823529411764705
CES Enhanced Homemaker,2,0,0,0,0.0
CES Extraordinary Cleanin,28,0,0,0,0.0
CES Respite Daily,19,0,0,0,0.0
CES Respite Hourly,10,0,2,2,0.2
CFC Homemaker,396,0,2,2,0.005050505050505051
CFC Homemaker Legally Res,123,0,0,0,0.0
CFC IHSS Health Maintenan,124,0,0,0,0.0
CFC IHSS Homemaker,61,0,1,1,0.01639344262295082
CFC IHSS Personal Care,91,0,0,0,0.0
CFC LRP Homemaker,232,0,1,1,0.004310344827586207
CFC Personal Care,973,0,77,77,0.07913669064748201
CHW,28,0,25,25,0.8928571428571429
CHW PC,646,0,50,50,0.07739938080495357
CHW Unbillable,42,0,5,5,0.11904761904761904
CHW Unbillable TT,33,0,3,3,0.09090909090909091
CMH - NEW 2022 PTS,62,0,1,1,0.016129032258064516
CMHS Homemaker,17,0,0,0,0.0
CMHS Personal Care,7,0,0,0,0.0
CMO Assessment,135,0,30,30,0.2222222222222222
CMO HOLD,19,0,18,18,0.9473684210526315
CMO Re-Assessment,43,0,6,6,0.13953488372093023
COMP Private Pay,11,0,4,4,0.36363636363636365
COMPANION HOURLY 2024,22,0,8,8,0.36363636363636365
COPD Hourly,12,0,1,1,0.08333333333333333
COPD Training,3,0,1,1,0.3333333333333333
COPD Virtual Visit,2,0,0,0,0.0
COTA,437,4,158,162,0.3707093821510298
Cancelation,3,1,2,3,1.0
Cancellation Fee,1,0,1,1,1.0
Case Mgmt hourly,11,0,0,0,0.0
Certified Nurse Assistant,4,0,4,4,1.0
Certified Therap Rec Spec,590,1,28,29,0.04915254237288136
Chargeback,1,0,0,0,0.0
Chore HM,1,0,0,0,0.0
Chore Services,1,0,0,0,0.0
Clinical Case Manager,1607,165,267,432,0.268823895457374
Clinician Visit,135,0,11,11,0.08148148148148149
Clinician Visit (Billable),9,0,0,0,0.0
Clinician Visit (RN),10,0,2,2,0.2
Clinician Visit (Unbillable),15,0,1,1,0.06666666666666667
Cluster Care,1179,1,198,199,0.16878710771840544
Cmprhnsive Comty Sppt Svc,284,3,82,85,0.2992957746478873
Cognitive Behavioral PVT,66,0,0,0,0.0
Community ALT Program,95,4,8,12,0.12631578947368421
Community Alternatives Pr,354,0,3,3,0.00847457627118644
Community Connector,207,1,0,1,0.004830917874396135
Community Involvement Soc,27,0,7,7,0.25925925925925924
Community Support Program,44,0,0,0,0.0
Companion,252,0,59,59,0.23412698412698413
Companion Care,40,0,4,4,0.1
Companion Care NY,42,0,4,4,0.09523809523809523
Companion HM,1472,4,386,390,0.264945652173913
Companion PVT,64,0,1,1,0.015625
Companion Service,3683,70,327,397,0.10779256041270703
Companion Services,49,0,21,21,0.42857142857142855
Companionship,429,0,80,80,0.1864801864801865
Consumer Directed,835,0,0,0,0.0
Consumer Directed Service,17,0,17,17,1.0
Consumer Personal Care,129,0,2,2,0.015503875968992248
DC - HHA Hourly,438,1,133,134,0.3059360730593607
DC - Side-by-side Training,1,0,0,0,0.0
DC - Skills Discovery Visit,5,0,1,1,0.2
DMHHA,39,0,32,32,0.8205128205128205
DMHHI,320,0,54,54,0.16875
DMHISD,46,4,2,6,0.13043478260869565
DMHU1,326,0,138,138,0.4233128834355828
DORS,12,0,12,12,1.0
Daily1,35,0,0,0,0.0
Day Habilitation,17,0,0,0,0.0
Do not bill,3,1,0,1,0.3333333333333333
Doctor Visits,14,1,13,14,1.0
EBD Homemaker,3,0,1,1,0.3333333333333333
EBD Personal Care Service,1,0,0,0,0.0
Encounter 2,4,0,2,2,0.5
Encounter 3,3,0,1,1,0.3333333333333333
Encounter 4,1,0,0,0,0.0
Enhanced Homemaker,50,0,0,0,0.0
Enhanced Parental Prov,64,0,0,0,0.0
Escort - up to 4hrs,2,0,0,0,0.0
Escort 4hrs,251,0,29,29,0.11553784860557768
Escort 6hrs,21,0,7,7,0.3333333333333333
Escort G.H.S. 168th,12,0,10,10,0.8333333333333334
Escort Supplemental 168th,46,24,15,39,0.8478260869565217
Escort Supplemental 168th Holiday,2,2,0,2,1.0
Escort Supplemental Allen,14,4,1,5,0.35714285714285715
Ext Doctor Appointment,220,171,22,193,0.8772727272727273
Ext Work,51,37,4,41,0.803921568627451
Extraordinary Cleaning,71,0,2,2,0.028169014084507043
Face-to-Face,2,0,0,0,0.0
Family Care Partnership,86,1,18,19,0.22093023255813954
Field Supervisory Visit,19,0,0,0,0.0
G0156,4572,14,502,516,0.11286089238845144
G0156 HHA,94,1,22,23,0.24468085106382978
G0156 HHA Hourly,68,0,0,0,0.0
G0156 NYC SUBURBS/LONG ISLAND,9,0,9,9,1.0
G0156 PCA,627,0,71,71,0.11323763955342903
G0156 PCA Hourly,1295,1,159,160,0.12355212355212356
G0156 W,22,0,0,0,0.0
G0162,2,1,0,1,0.5
G0299-RN Initial,3,0,0,0,0.0
G0299-Reassessment,62,0,11,11,0.1774193548387097
G0529,9,0,2,2,0.2222222222222222
General,264,2,10,12,0.045454545454545456
General Health Eval,18,0,0,0,0.0
Group Day,41,0,1,1,0.024390243902439025
Group Respite Care Hourly,57,0,0,0,0.0
HABH,266,0,49,49,0.18421052631578946
HABV,224,1,61,62,0.2767857142857143
HABV--,17,0,14,14,0.8235294117647058
HAHMK,4,0,1,1,0.25
HARP T1019:U1,36,0,10,10,0.2777777777777778
HC,1670,1,133,134,0.08023952095808383
HC Hourly,25,0,2,2,0.08
HC2,12,0,9,9,0.75
HCSS,158,0,27,27,0.17088607594936708
HCSS 9744 Bronx,2425,2,317,319,0.13154639175257732
HCSS 9744 Brooklyn,52882,2,3390,3392,0.06414280851707575
HCSS 9744 Manhattan,1302,0,267,267,0.20506912442396313
HCSS 9744 Queens,4261,0,215,215,0.05045763905186576
HCSS 9744 Staten Island,1911,0,422,422,0.2208267922553637
HCSS 9745 LI Nassau Westchester Suffolk,20588,1,1652,1653,0.08028948902273168
HCSS 9745 Westchester,635,0,60,60,0.09448818897637795
HCSS 9795 LI Nassau Westchester Suffolk,52,0,49,49,0.9423076923076923
HCSS 9795 NYC,7,0,7,7,1.0
HCSS 9879,1467,0,101,101,0.06884798909338787
HCSS Hourly BX,1265,0,67,67,0.052964426877470355
HCSS Hourly Bronx NEW,186,0,0,0,0.0
HCSS Hourly K,4185,8,322,330,0.07885304659498207
HCSS Hourly MAN,371,0,5,5,0.013477088948787063
HCSS Hourly NAS,1925,2,252,254,0.13194805194805195
HCSS Hourly Q,1438,12,63,75,0.0521557719054242
HCSS Hourly SUF,1333,32,178,210,0.15753938484621155
HCSS NASSAU,3336,1,222,223,0.06684652278177458
HCSS Nursing Visit,15,1,0,1,0.06666666666666667
HCSS Putnam Hourly New,279,2,13,15,0.053763440860215055
HCSS SUFFOLK,716,0,48,48,0.0670391061452514
HCSS-ALL OTHER COUNTIES,1,0,1,1,1.0
HCSS-Bronx Hourly NEW,219,1,58,59,0.2694063926940639
HCSS-Duchess Hourly NEW,45,0,0,0,0.0
HCSS-Hourly Duchess NEW,519,0,3,3,0.005780346820809248
HCSS-Hourly NY/Manhattan NEW,191,0,77,77,0.4031413612565445
HCSS-Hourly Orange NEW,863,0,39,39,0.04519119351100811
HCSS-Hourly Putnam NEW,183,0,0,0,0.0
HCSS-Hourly Queens NEW,42,0,5,5,0.11904761904761904
HCSS-Hourly Rockland NEW,2839,1,150,151,0.05318774216273336
HCSS-Orange Hourly NEW,428,0,5,5,0.011682242990654205
HCSS-Rockland Hourly NEW,564,0,40,40,0.07092198581560284
HCSS-Ulster Hourly NEW,188,0,60,60,0.3191489361702128
HCSS-Westchester Hourly NEW,1930,0,51,51,0.026424870466321245
HCYAPC,49,0,7,7,0.14285714285714285
HCYPC,112,0,9,9,0.08035714285714286
