zip5,total,filled,unfilled,cancelled,unmet,city,state,lat,lng,unmet_rate,fill_rate
00nan,316,294,0,22,22,,,,,0.06962025316455696,0.930379746835443
01002,17,0,0,17,17,Amherst,MA,42.37633,-72.46462,1.0,0.0
01013,136,67,0,69,69,Chicopee,MA,42.16059,-72.60788,0.5073529411764706,0.49264705882352944
01020,53,36,0,17,17,Chicopee,MA,42.17618,-72.56538,0.32075471698113206,0.6792452830188679
01040,19,18,0,1,1,Holyoke,MA,42.21251,-72.64109,0.05263157894736842,0.9473684210526315
01053,13,2,0,11,11,HOLYOKE,MA,42.35205,-72.71032,0.8461538461538461,0.15384615384615385
01056,125,89,0,36,36,Ludlow,MA,42.19211,-72.45805,0.288,0.712
01073,47,29,0,18,18,South Hadley,MA,42.23084,-72.73856,0.3829787234042553,0.6170212765957447
01075,115,76,0,39,39,South Hadley,MA,42.25672,-72.57928,0.3391304347826087,0.6608695652173913
01077,62,51,0,11,11,Southwick,MA,42.05441,-72.77851,0.1774193548387097,0.8225806451612904
01085,46,43,0,3,3,Westfield,MA,42.15375,-72.76961,0.06521739130434782,0.9347826086956522
01089,177,132,0,45,45,West Springfield,MA,42.12532,-72.65025,0.2542372881355932,0.7457627118644068
01095,450,284,0,166,166,Wilbraham,MA,42.12763,-72.42994,0.3688888888888889,0.6311111111111111
01098,19,13,0,6,6,Wilbraham,MA,42.39551,-72.94315,0.3157894736842105,0.6842105263157895
01103,5,5,0,0,0,Springfield,MA,42.10443,-72.58997,0.0,1.0
01104,51,31,0,20,20,Springfield,MA,42.13326,-72.56733,0.39215686274509803,0.6078431372549019
01108,64,43,0,21,21,Longmeadow,MA,42.0814,-72.55866,0.328125,0.671875
01109,250,195,0,55,55,Springfield,MA,42.11839,-72.54876,0.22,0.78
01118,97,91,0,6,6,Springfield,MA,42.09476,-72.5253,0.061855670103092786,0.9381443298969072
01119,277,229,2,46,48,Springfield,MA,42.12452,-72.51126,0.17328519855595667,0.8267148014440433
01129,119,90,1,28,29,Springfield,MA,42.1211,-72.4877,0.24369747899159663,0.7563025210084033
01373,66,58,0,8,8,South Deerfield,MA,42.47292,-72.61516,0.12121212121212122,0.8787878787878788
01420,5,4,0,1,1,Fitchburg,MA,42.58559,-71.81693,0.2,0.8
01453,53,51,0,2,2,Leominster,MA,42.51961,-71.76583,0.03773584905660377,0.9622641509433962
01510,3,0,0,3,3,Clinton,MA,42.4119,-71.68883,1.0,0.0
01520,2,0,0,2,2,Holden,MA,42.33685,-71.85181,1.0,0.0
01527,8,4,0,4,4,Millbury,MA,42.19228,-71.77397,0.5,0.5
01570,44,41,0,3,3,Webster,MA,42.05206,-71.8485,0.06818181818181818,0.9318181818181818
01571,1,0,0,1,1,Dudley,MA,42.05501,-71.93519,1.0,0.0
01583,4,0,0,4,4,West Boylston,MA,42.37034,-71.78502,1.0,0.0
01603,84,57,0,27,27,Worcester,MA,42.24373,-71.84429,0.32142857142857145,0.6785714285714286
01604,40,23,0,17,17,Worcester,MA,42.25085,-71.7683,0.425,0.575
01609,33,12,0,21,21,Worcester,MA,42.28592,-71.82853,0.6363636363636364,0.36363636363636365
01610,17,15,0,2,2,Worcester,MA,42.24645,-71.80968,0.11764705882352941,0.8823529411764706
01612,2,0,0,2,2,Paxton,MA,42.31037,-71.93095,1.0,0.0
01748,1,1,0,0,0,Hopkinton,MA,42.2255,-71.53781,0.0,1.0
01757,9,9,0,0,0,Milford,MA,42.15723,-71.51978,0.0,1.0
01907,46,45,0,1,1,Swampscott,MA,42.47572,-70.90684,0.021739130434782608,0.9782608695652174
02019,5,5,0,0,0,Bellingham,MA,42.0777,-71.47407,0.0,1.0
02053,5,5,0,0,0,Medway,MA,42.15352,-71.42906,0.0,1.0
02119,44,3,1,40,41,Roxbury,MA,42.32405,-71.08522,0.9318181818181818,0.06818181818181818
02121,69,45,0,24,24,Dorchester,MA,42.3057,-71.08693,0.34782608695652173,0.6521739130434783
02126,115,72,2,41,43,Mattapan,MA,42.27588,-71.0918,0.3739130434782609,0.6260869565217392
02130,16,0,4,12,16,Jamaica Plain,MA,42.30823,-71.11515,1.0,0.0
02131,37,37,0,0,0,Roslindale,MA,42.28392,-71.12468,0.0,1.0
02132,6,0,0,6,6,West Roxbury,MA,42.27931,-71.16072,1.0,0.0
02136,6,3,0,3,3,Hyde Park,MA,42.25505,-71.12662,0.5,0.5
02151,1,0,0,1,1,Revere,MA,42.41887,-71.004,1.0,0.0
02152,9,9,0,0,0,Winthrop,MA,42.37724,-70.98115,0.0,1.0
02717,5,0,0,5,5,East Freetown,MA,41.75405,-70.98312,1.0,0.0
02719,36,26,0,10,10,Fairhaven,MA,41.63945,-70.87322,0.2777777777777778,0.7222222222222222
02720,363,253,6,104,110,Fall River,MA,41.73095,-71.10932,0.30303030303030304,0.696969696969697
02721,61,31,3,27,30,Fall River,MA,41.67451,-71.14869,0.4918032786885246,0.5081967213114754
02723,74,49,0,25,25,Fall River,MA,41.69237,-71.1309,0.33783783783783783,0.6621621621621622
02724,44,9,0,35,35,Fall River,MA,41.68372,-71.17949,0.7954545454545454,0.20454545454545456
02726,27,21,0,6,6,Somerset,MA,41.76073,-71.14444,0.2222222222222222,0.7777777777777778
02740,5,0,0,5,5,New Bedford,MA,41.63802,-70.93839,1.0,0.0
02747,9,8,0,1,1,North Dartmouth,MA,41.6577,-71.01202,0.1111111111111111,0.8888888888888888
02769,1,0,0,1,1,Rehoboth,MA,41.84394,-71.24559,1.0,0.0
02771,12,0,0,12,12,Seekonk,MA,41.83787,-71.31736,1.0,0.0
02777,94,40,0,54,54,Swansea,MA,41.75699,-71.21208,0.574468085106383,0.425531914893617
02780,95,84,0,11,11,Taunton,MA,41.90743,-71.11939,0.11578947368421053,0.8842105263157894
02790,74,57,0,17,17,Westport,MA,41.59967,-71.08266,0.22972972972972974,0.7702702702702703
03904,3,3,0,0,0,Kittery,ME,43.11025,-70.73201,0.0,1.0
03906,21,14,0,7,7,North Berwick,ME,43.3447,-70.77759,0.3333333333333333,0.6666666666666666
04001,2,0,0,2,2,Acton,ME,43.52991,-70.92078,1.0,0.0
04005,63,44,0,19,19,Biddeford,ME,43.49591,-70.49537,0.30158730158730157,0.6984126984126984
04009,3,2,0,1,1,Bridgton,ME,44.04791,-70.73632,0.3333333333333333,0.6666666666666666
04011,1,0,0,1,1,Brunswick,ME,43.90068,-69.97607,1.0,0.0
04015,2,2,0,0,0,Casco,ME,43.96503,-70.5205,0.0,1.0
04020,27,24,0,3,3,Cornish,ME,43.76811,-70.81028,0.1111111111111111,0.8888888888888888
04030,7,3,2,2,4,East Waterboro,ME,43.59301,-70.69553,0.5714285714285714,0.42857142857142855
04032,1,0,1,0,1,Freeport,ME,43.85561,-70.10085,1.0,0.0
04038,39,34,1,4,5,Gorham,ME,43.70343,-70.4581,0.1282051282051282,0.8717948717948718
04043,14,12,0,2,2,KENNEBUNK,ME,43.39721,-70.57071,0.14285714285714285,0.8571428571428571
04048,9,6,0,3,3,Limerick,ME,43.68862,-70.78642,0.3333333333333333,0.6666666666666666
04049,3,2,0,1,1,Limington,ME,43.7356,-70.70263,0.3333333333333333,0.6666666666666666
04055,28,7,0,21,21,Naples,ME,43.97065,-70.61444,0.75,0.25
04064,36,23,0,13,13,Old Orchard Beach,ME,43.52635,-70.38985,0.3611111111111111,0.6388888888888888
04072,36,28,0,8,8,Saco,ME,43.53898,-70.46236,0.2222222222222222,0.7777777777777778
04073,148,99,0,49,49,SANFORD,ME,43.41301,-70.74237,0.3310810810810811,0.668918918918919
04074,60,24,0,36,36,Scarborough,ME,43.59103,-70.3683,0.6,0.4
